section,item,catalog_id,qty,unit_usd,total_usd,low_usd,high_usd,tier,price_verified,note
"Screening — projector, picture, plinth, sound","Hisense PX3-PRO TriChroma laser cinema (UST)","projector-ust-hisense-px3-pro",1,2799,2799,,,recommended,yes,""
"Screening — projector, picture, plinth, sound","VIVIDSTORM CineVision Pro UST ALR fixed frame, 100"" 16:9","screen-ust-alr-vividstorm-100",1,1439,1439,,,recommended,no,"catalog source flags this price as unverified"
"Screening — projector, picture, plinth, sound","UST plinth, bespoke 66"" x 24"" x 14""","plinth-ust-bespoke-66",1,650,650,,,recommended,no,"catalog source flags this price as unverified"
"Screening — projector, picture, plinth, sound","Projected image, 100"" (switched on)","projection-image-100",1,0,0,,,unspecified,yes,""
"Screening — projector, picture, plinth, sound — SUBTOTAL",,,,,4888,,,,,
"Light control — the co-requisite, not an accessory","Blackout roller shade, per glazing bay","shade-blackout-roller-bay",4,182,728,,,value,yes,""
"Light control — the co-requisite, not an accessory","Blackout side channels, per glazing bay (pair)","shade-side-channels-bay",4,85,340,,,unspecified,no,"catalog source flags this price as unverified"
"Light control — the co-requisite, not an accessory — SUBTOTAL",,,,,1068,,,,,
"Work — the desk and everything on it","Secretlab MAGNUS Pro metal standing desk, 59.1"" x 27.6""","desk-standing-magnus-pro",1,799,799,,,unspecified,no,"catalog source flags this price as unverified"
"Work — the desk and everything on it","Steelcase Series 1 task chair — Oatmeal","chair-steelcase-series1",1,499,499,,,value,yes,""
"Work — the desk and everything on it","LG UltraFine 27UP850N-W, 27"" 4K USB-C","monitor-lg-27up850n",1,399,399,,,value,yes,""
"Work — the desk and everything on it","Fully Jarvis single monitor arm","monitor-arm-single-jarvis",1,175,175,,,unspecified,no,"catalog source flags this price as unverified"
"Work — the desk and everything on it","Under-desk CPU / mini-PC mount","cpu-mount-underdesk",1,99,99,,,unspecified,yes,""
"Work — the desk and everything on it","Desk mat, 36"" x 17""","desk-mat-felt",1,95,95,,,unspecified,yes,""
"Work — the desk and everything on it — SUBTOTAL",,,,,2066,,,,,
"Sleep","Lori Bed Queen Vertical wall bed, closed","bed-murphy-queen-lori-closed",1,2159,2159,,,recommended,yes,""
"Sleep — SUBTOTAL",,,,,2159,,,,,
"Seating — the congregation area","SALTMYRAN loveseat, Öreryd grey-beige","sofa-saltmyran-58-loveseat",1,299,299,,,value,yes,""
"Seating — the congregation area","TOLKNING pouf with storage, handmade rattan","pouf-tolkning-rattan-20",2,100,200,,,value,yes,""
"Seating — the congregation area — SUBTOTAL",,,,,499,,,,,
"Dining","NORBERG wall-mounted drop-leaf table (drawn FOLDED)","dining-norberg-wallmount",1,110,110,,,value,yes,""
"Dining","TEODORES chair, white — stackable","chair-teodores",2,55,110,,,value,yes,""
"Dining — SUBTOTAL",,,,,220,,,,,
"Storage","TONSTAD 4-drawer chest, oak veneer","dresser-tonstad-4drawer",1,300,300,,,recommended,yes,""
"Storage","String Pocket shelf — ash / white","shelf-string-pocket",1,230,230,,,recommended,yes,""
"Storage","TRONES shoe cabinet, wall-mounted","entry-trones-shoe",2,40,80,,,value,no,"catalog source flags this price as unverified"
"Storage — SUBTOTAL",,,,,610,,,,,
"Soft goods","Nordic Knots Desert flatweave rug, 8x10 — Earth","rug-nordicknots-desert-8x10",1,395,395,,,recommended,yes,""
"Soft goods — SUBTOTAL",,,,,395,,,,,
"Light and greenery","Full-length mirror, wall-hung","mirror-full-length-wall",1,179,179,,,unspecified,yes,""
"Light and greenery","NYMÅNE wall reading lamp, plug-in","lamp-nymane-wall-reading",1,45,45,,,value,yes,""
"Light and greenery","SANSEVIERIA potted plant, 8"" pot","plant-sansevieria-24",1,25,25,,,recommended,yes,""
"Light and greenery","STRANDAD floor lamp, paper shade","lamp-strandad-floor-lantern",1,20,20,,,value,yes,""
