section,item,catalog_id,qty,unit_usd,total_usd,low_usd,high_usd,tier,price_verified,note
"Screening — projector, picture, plinth, sound","Hisense PX3-PRO TriChroma laser cinema (UST)","projector-ust-hisense-px3-pro",1,2799,2799,,,recommended,yes,""
"Screening — projector, picture, plinth, sound","VIVIDSTORM CineVision Pro UST ALR fixed frame, 100"" 16:9","screen-ust-alr-vividstorm-100",1,1439,1439,,,recommended,no,"catalog source flags this price as unverified"
"Screening — projector, picture, plinth, sound","UST plinth, bespoke 66"" x 24"" x 14""","plinth-ust-bespoke-66",1,650,650,,,recommended,no,"catalog source flags this price as unverified"
"Screening — projector, picture, plinth, sound","Projected image, 100"" (switched on)","projection-image-100",1,0,0,,,unspecified,yes,""
"Screening — projector, picture, plinth, sound — SUBTOTAL",,,,,4888,,,,,
"Light control — the co-requisite, not an accessory","Blackout roller shade, per glazing bay","shade-blackout-roller-bay",4,182,728,,,value,yes,""
"Light control — the co-requisite, not an accessory","Blackout side channels, per glazing bay (pair)","shade-side-channels-bay",4,85,340,,,unspecified,no,"catalog source flags this price as unverified"
"Light control — the co-requisite, not an accessory — SUBTOTAL",,,,,1068,,,,,
"Work — the desk and everything on it","Secretlab MAGNUS Pro metal standing desk, 59.1"" x 27.6""","desk-standing-magnus-pro",1,799,799,,,unspecified,no,"catalog source flags this price as unverified"
"Work — the desk and everything on it","Dell UltraSharp 27 4K Thunderbolt hub — U2725QE","monitor-dell-u2725qe-27",1,700,700,,,recommended,yes,""
"Work — the desk and everything on it","Branch Ergonomic Chair Pro","chair-branch-ergonomic-pro",1,599,599,,,recommended,yes,""
"Work — the desk and everything on it","Fully Jarvis single monitor arm","monitor-arm-single-jarvis",1,175,175,,,unspecified,no,"catalog source flags this price as unverified"
"Work — the desk and everything on it","Standing-desk mat, contoured 29"" x 26""","mat-standing-topo",1,139,139,,,unspecified,no,"catalog source flags this price as unverified"
"Work — the desk and everything on it","Fully clamp-mounted surge protector","desk-acc-surge-clamp-fully",1,85,85,,,unspecified,yes,""
"Work — the desk and everything on it — SUBTOTAL",,,,,2497,,,,,
"Sleep","Floyd Bed (Original), queen — walnut, no headboard","bed-queen-floyd-walnut",1,1070,1070,,,recommended,yes,""
"Sleep — SUBTOTAL",,,,,1070,,,,,
"Seating — the congregation area","JÄRRESTAD pouf with storage, 18""","pouf-jarrestad-18",2,130,260,,,value,yes,""
"Seating — the congregation area","ALSEDA banana-fibre stool, 23 1/2""","floor-cushion-alseda-24",2,30,60,,,value,yes,""
"Seating — the congregation area — SUBTOTAL",,,,,320,,,,,
"Tables","STOCKHOLM nesting tables, walnut, set of 2","side-stockholm-nesting-walnut",1,400,400,,,unspecified,yes,""
"Tables — SUBTOTAL",,,,,400,,,,,
"Storage","MALM 6-drawer chest, 63"" — black-brown","dresser-malm-6drawer-63",1,300,300,,,value,no,"catalog source flags this price as unverified"
"Storage","TRONES shoe cabinet, wall-mounted","entry-trones-shoe",1,40,40,,,value,no,"catalog source flags this price as unverified"
"Storage — SUBTOTAL",,,,,340,,,,,
"Soft goods","Nordic Knots Desert flatweave rug, 8x10 — Earth","rug-nordicknots-desert-8x10",1,395,395,,,recommended,yes,""
"Soft goods — SUBTOTAL",,,,,395,,,,,
"Light and greenery","HEKTAR floor lamp","lamp-floor-hektar",1,69,69,,,unspecified,yes,""
"Light and greenery — SUBTOTAL",,,,,69,,,,,
"FURNITURE TOTAL",,,,,11047,,,,,
