section,item,catalog_id,qty,unit_usd,total_usd,low_usd,high_usd,tier,price_verified,note
"Screening — projector, picture, plinth, sound","Hisense PX3-PRO TriChroma laser cinema (UST)","projector-ust-hisense-px3-pro",1,2799,2799,,,recommended,yes,""
"Screening — projector, picture, plinth, sound","VIVIDSTORM S PRO floor-rising UST ALR screen, 100"" 16:9","screen-floorrise-vividstorm-100",1,1962,1962,,,recommended,yes,""
"Screening — projector, picture, plinth, sound","UST plinth, bespoke 66"" x 24"" x 14""","plinth-ust-bespoke-66",2,650,1300,,,recommended,no,"catalog source flags this price as unverified"
"Screening — projector, picture, plinth, sound","Projected image, 100"" (switched on)","projection-image-100",1,0,0,,,unspecified,yes,""
"Screening — projector, picture, plinth, sound — SUBTOTAL",,,,,6061,,,,,
"Light control — the co-requisite, not an accessory","Blackout roller shade, per glazing bay","shade-blackout-roller-bay",4,182,728,,,value,yes,""
"Light control — the co-requisite, not an accessory","Blackout side channels, per glazing bay (pair)","shade-side-channels-bay",4,85,340,,,unspecified,no,"catalog source flags this price as unverified"
"Light control — the co-requisite, not an accessory — SUBTOTAL",,,,,1068,,,,,
"Work — the Jarvis and everything on it","Fully Jarvis bamboo standing desk, 48"" x 30""","desk-standing-jarvis-48x30",1,1325,1325,,,unspecified,yes,""
"Work — the Jarvis and everything on it","Monitor, 32"" 16:9","monitor-32",1,799,799,,,unspecified,yes,""
"Work — the Jarvis and everything on it","Branch Ergonomic Chair Pro","chair-branch-ergonomic-pro",1,599,599,,,recommended,yes,""
"Work — the Jarvis and everything on it","Fully Jarvis single monitor arm","monitor-arm-single-jarvis",1,175,175,,,unspecified,no,"catalog source flags this price as unverified"
"Work — the Jarvis and everything on it","Standing-desk mat, contoured 29"" x 26""","mat-standing-topo",1,139,139,,,unspecified,no,"catalog source flags this price as unverified"
"Work — the Jarvis and everything on it","Under-desk CPU / mini-PC mount","cpu-mount-underdesk",1,99,99,,,unspecified,yes,""
"Work — the Jarvis and everything on it","Fully clamp-mounted surge protector","desk-acc-surge-clamp-fully",1,85,85,,,unspecified,yes,""
"Work — the Jarvis and everything on it","Fully Jarvis cable management tray","cable-tray-jarvis",1,0,0,,,unspecified,yes,""
"Work — the Jarvis and everything on it — SUBTOTAL",,,,,3221,,,,,
